a	b	label
6	30598	1
44	5912	1
40	2904	1
43	6333	1
20	7717	-1
46	4836	1
25	22554	-1
38	5957	1
35	11074	-1
33	21009	-1
30	19048	1
36	29141	1
1	3084	-1
43	25018	1
44	25884	1
43	27850	1
8	26493	1
37	21346	-1
29	1950	-1
43	6008	1
40	1939	1
5	17087	-1
48	25239	1
45	11791	-1
48	7589	-1
17	23486	-1
41	16181	1
22	4289	1
31	28777	-1
22	27510	-1
41	10894	-1
42	24722	1
20	5253	-1
36	24930	1
18	26198	-1
35	17734	-1
38	14012	-1
7	22372	-1
27	25963	-1
6	1610	-1
48	13636	-1
30	24798	-1
41	4567	-1
13	15106	1
32	6477	-1
7	14793	1
17	3294	-1
48	5305	1
8	10823	1
31	22832	-1
17	30675	1
9	2598	1
48	9753	1
45	26723	-1
21	27969	1
23	29941	-1
40	30241	1
47	6855	-1
4	30351	1
12	27202	-1
33	5362	-1
1	23866	1
0	6411	-1
8	14547	1
49	22644	1
30	25130	1
26	20958	-1
30	13585	-1
35	6584	-1
35	12513	-1
48	30606	-1
6	19016	1
24	29038	-1
13	29679	-1
14	8134	-1
10	983	-1
45	22972	-1
8	26562	-1
18	12650	-1
29	25475	1
16	1580	1
20	13259	1
43	17589	1
1	28391	1
11	27132	-1
28	5019	1
11	13766	-1
46	15941	1
17	11929	-1
43	1309	-1
43	12575	1
8	22620	1
9	23704	1
38	4763	-1
45	4067	-1
16	992	-1
23	77	1
25	11323	-1
42	6599	-1
15	5352	1
30	26644	1
40	762	1
10	30321	-1
30	4298	1
22	10549	-1
13	30238	-1
9	28642	1
43	28959	1
32	19677	1
1	29542	1
4	29899	-1
18	17408	-1
45	12140	1
12	17515	1
4	6443	1
10	11059	-1
12	3147	-1
19	30513	-1
9	635	1
35	355	-1
32	14244	1
36	20829	1
6	11040	1
40	21387	-1
14	5232	-1
0	10812	1
13	21936	1
16	12789	-1
35	25752	-1
46	23528	1
44	5513	1
46	15363	1
36	27090	1
9	3961	1
9	5696	1
2	22887	-1
26	19712	-1
48	14055	1
5	9963	1
21	15597	1
9	10190	1
12	12269	-1
12	9963	-1
23	4893	1
14	27683	1
29	19249	-1
41	3896	-1
33	16434	-1
46	10862	1
49	21325	1
28	27874	1
45	25149	-1
21	15331	-1
5	14211	-1
47	7904	-1
40	7587	-1
13	29307	-1
13	15030	1
28	21777	-1
48	11348	1
44	19307	1
21	10230	-1
34	27600	-1
7	26746	1
3	1204	-1
28	18024	1
6	19881	1
39	21404	1
16	26908	1
21	6647	1
10	4231	-1
6	23386	1
17	7491	-1
5	7002	1
25	5526	-1
41	28643	-1
13	14497	-1
48	13213	1
7	21283	1
2	1661	-1
42	7506	1
39	19373	-1
11	20612	-1
46	11530	1
28	18892	1
9	22771	1
18	28782	1
7	28890	1
26	13642	1
9	8762	1
8	586	1
5	25479	-1
7	26909	1
47	1894	-1
38	19362	-1
34	5513	-1
5	2307	-1
2	11748	-1
45	8198	1
12	5122	-1
1	4957	-1
14	20933	1
21	7203	1
48	4385	-1
35	7079	-1
36	24912	1
13	18475	-1
9	1552	-1
31	2984	-1
14	27185	1
13	30426	1
8	25550	1
35	19628	-1
8	3565	1
17	7267	-1
43	6398	1
4	1882	1
32	29124	-1
8	14201	-1
13	27063	1
43	24912	1
48	25903	1
30	14946	1
21	13402	-1
19	7224	-1
6	30503	1
6	7570	1
42	10663	-1
1	25007	1
28	17061	1
14	25542	1
34	4332	-1
37	16640	-1
13	27417	1
5	1405	1
11	19704	-1
8	1829	1
48	19869	1
12	10956	1
41	26231	-1
40	24884	-1
22	28933	-1
43	8477	1
6	17497	1
42	29335	1
0	28050	-1
48	27243	1
43	16552	1
3	4642	-1
15	8521	1
6	30207	-1
8	7233	1
42	28265	1
14	24484	-1
4	23156	1
24	8120	-1
16	26169	1
42	11845	1
42	25602	1
5	16813	1
18	14558	1
23	22093	1
40	20779	-1
43	29570	1
3	25511	1
39	5670	1
19	17546	-1
19	960	-1
1	8999	1
23	18982	-1
16	26209	1
43	2515	1
31	4993	-1
45	4714	-1
12	27618	-1
46	7435	1
19	12686	-1
9	2438	-1
37	24305	1
36	1062	-1
0	14964	1
44	11432	1
13	327	1
21	23713	1
36	20319	1
5	17483	-1
41	391	-1
42	14235	-1
12	4129	-1
1	20267	1
4	4160	1
35	24868	1
28	22865	-1
15	20751	-1
35	15729	1
44	8920	-1
48	16877	1
12	6652	-1
35	10586	-1
34	15563	-1
9	20252	1
4	19868	1
12	7143	-1
10	19735	-1
20	30374	-1
17	7701	-1
29	6433	-1
42	22156	1
43	14470	1
1	9118	1
8	31056	1
33	20244	-1
22	3724	-1
21	9586	-1
24	18860	-1
21	230	-1
43	10504	1
1	10670	1
16	254	-1
48	26205	-1
37	4658	-1
43	16978	1
16	20447	1
13	14255	1
46	16095	1
48	26024	1
15	4187	-1
13	5703	-1
37	13862	-1
8	4503	1
42	14924	1
39	8779	-1
43	19802	1
48	29693	1
21	213	1
46	29134	-1
23	20310	1
11	9403	-1
43	14547	1
8	18584	1
46	9804	1
36	29176	-1
16	27332	-1
34	15189	1
26	15225	1
17	4583	1
1	10989	-1
7	4350	1
42	5429	-1
46	1964	1
28	23538	1
34	4972	-1
42	17546	1
28	23215	1
21	6528	1
49	29315	1
6	24229	-1
13	9528	1
6	29529	-1
5	24054	1
10	21184	1
0	9365	-1
5	2575	-1
10	21457	-1
38	19913	-1
28	25350	-1
0	28668	-1
42	29427	-1
49	21757	-1
16	24852	1
11	3671	-1
49	8552	-1
18	8929	-1
8	23780	-1
0	17259	-1
37	18083	-1
33	3552	-1
12	21233	-1
43	16272	-1
17	21634	-1
23	11506	1
40	13665	-1
4	31067	1
35	18594	-1
28	21305	-1
25	615	-1
32	20952	-1
4	17266	1
2	26153	-1
12	27589	-1
4	18292	-1
10	14020	-1
13	9829	-1
3	28383	-1
46	20861	1
48	2527	1
5	11338	-1
2	15680	1
48	12880	1
42	28808	1
8	20730	1
15	3207	-1
2	19556	-1
48	2978	1
17	23406	-1
25	24613	-1
8	14691	1
35	29905	-1
14	14759	1
49	3320	-1
43	27454	1
43	28727	-1
22	3771	-1
40	12437	1
40	5241	-1
37	2057	-1
14	9160	-1
1	9275	1
49	16997	1
31	4963	-1
37	5511	-1
40	24316	1
16	8730	1
43	430	1
32	27012	-1
34	6032	-1
6	22477	1
37	1051	-1
37	3881	-1
40	15383	-1
8	20842	1
48	14864	1
4	29284	1
28	1174	1
6	10306	1
46	26794	1
0	25470	-1
0	26374	1
4	26501	1
10	17105	-1
10	16881	1
40	8400	-1
38	8752	-1
4	21088	1
38	12021	1
30	15555	1
33	21914	-1
36	22836	1
9	10270	1
14	12633	-1
13	6268	1
16	14663	-1
46	17212	-1
29	21223	-1
23	1925	-1
4	6031	1
45	3525	1
0	22970	1
47	19998	-1
33	7280	-1
43	12543	1
37	18425	-1
13	24533	1
47	7990	-1
28	15986	1
2	30259	-1
45	13490	1
9	15448	-1
6	5022	-1
20	2103	1
33	16665	-1
23	14372	1
0	14814	1
13	15830	-1
46	11219	-1
48	12989	-1
28	10927	1
13	13829	1
11	19349	-1
21	10806	1
39	6623	1
13	27953	1
40	13784	-1
29	27285	-1
26	19409	1
43	11954	1
37	26395	-1
8	12191	1
36	22059	-1
15	18321	-1
1	14843	-1
46	1129	1
5	29056	-1
18	2591	-1
8	21905	-1
39	20638	1
48	30232	-1
30	5224	1
44	9109	1
48	5491	1
13	4443	1
11	2789	-1
8	17960	1
13	21072	1
22	7758	-1
1	26182	1
46	11717	1
41	3488	-1
9	298	-1
21	6714	-1
23	14461	1
49	17323	-1
49	27606	1
49	26092	-1
43	17564	-1
6	23561	1
18	30982	-1
20	13120	1
48	11627	1
8	15852	1
17	14199	-1
15	17258	-1
36	17270	-1
32	13519	-1
33	8747	-1
28	15458	1
37	18984	1
46	9874	1
9	19146	-1
13	23998	1
43	28225	1
10	29840	1
43	27823	1
17	1317	1
48	21335	1
0	4155	-1
27	7781	1
4	18297	-1
17	27723	-1
48	20371	1
16	7029	1
8	9273	1
16	19072	1
45	16929	-1
35	17507	1
48	16241	-1
28	18561	1
48	6631	1
23	26608	-1
44	27986	-1
13	4871	1
25	10780	-1
20	4497	-1
37	17489	1
36	14024	1
48	27590	1
47	11676	-1
42	22816	1
6	3766	-1
13	19691	-1
48	30206	1
46	7084	1
11	5807	-1
20	15103	-1
20	29788	-1
42	1673	1
1	5237	1
40	5618	1
6	25373	1
16	9494	1
12	1353	-1
44	71	1
39	701	1
5	22808	-1
3	14978	1
40	9179	1
9	28068	1
8	20791	-1
23	28084	1
38	5984	-1
27	5238	-1
15	21487	-1
16	16681	1
38	1740	-1
6	350	-1
46	25335	1
42	17727	1
4	29806	-1
23	10538	1
23	22526	-1
29	1907	-1
12	20813	-1
23	27122	-1
2	19230	-1
4	15945	1
40	7938	-1
43	17224	-1
3	21944	-1
23	8999	1
23	27867	1
15	5092	-1
17	28007	1
15	17741	-1
48	2147	1
27	5067	-1
18	8171	1
6	24990	1
12	13016	-1
8	21128	-1
4	21606	1
46	27380	1
47	6984	-1
13	7700	1
48	9432	1
46	3770	1
13	29561	1
22	28412	-1
40	8631	1
35	18784	1
26	27413	-1
24	27039	-1
8	15081	1
9	18198	-1
6	12287	1
35	13513	-1
45	7575	-1
0	28987	-1
43	11486	1
30	26011	-1
17	9529	-1
42	21717	-1
39	7624	-1
42	23012	-1
10	17220	-1
28	23497	1
42	3001	1
35	14072	-1
45	13432	1
40	25605	-1
1	20026	-1
45	23536	-1
5	17862	1
28	14923	-1
4	19196	1
13	5617	1
38	26919	-1
29	17432	1
37	25202	-1
43	368	-1
25	19123	1
26	29103	-1
8	27140	-1
43	20297	1
13	26671	1
42	15638	1
12	26232	-1
33	11652	-1
43	23630	-1
40	5140	1
46	15740	1
30	4993	-1
4	12903	1
20	4037	-1
46	27507	-1
30	26305	1
25	24105	-1
28	28040	-1
47	901	-1
35	13998	1
17	12671	-1
18	23501	-1
36	27001	1
4	5141	1
46	16193	-1
32	5873	-1
45	14412	-1
42	10865	-1
49	11462	-1
33	11655	-1
42	17673	-1
30	9015	-1
29	4606	1
29	21480	-1
13	13867	1
21	16380	1
38	26597	-1
38	11234	-1
42	22253	-1
38	16135	1
20	11185	-1
17	3179	1
9	21507	1
5	9315	1
25	10068	-1
26	21766	-1
9	14466	1
44	24222	-1
5	4749	1
13	16765	1
37	15873	-1
23	24844	-1
6	6024	1
42	18721	-1
36	22904	-1
13	5662	1
9	13969	-1
36	3566	1
46	18135	1
45	803	-1
41	18895	-1
29	15955	-1
39	1141	-1
43	7075	1
38	3273	-1
42	22884	-1
5	28886	1
8	13036	1
43	20574	1
35	12936	1
35	25966	1
46	14889	-1
6	20124	1
4	1824	1
40	8274	1
48	10974	-1
12	29794	-1
6	21390	-1
40	17607	1
44	3037	1
43	14242	1
20	14547	1
28	27708	-1
42	20681	-1
3	23840	-1
48	8143	-1
40	16229	1
4	22719	1
1	1142	-1
37	11097	1
40	11958	-1
8	17490	-1
35	4173	1
6	12939	1
43	18244	1
46	2351	1
23	23090	1
36	26300	-1
4	15818	-1
16	12926	-1
29	14673	-1
0	5229	-1
40	9883	1
9	7322	-1
19	4448	-1
38	16452	-1
32	27301	-1
41	14510	-1
4	15058	1
38	8219	-1
21	577	-1
24	11696	-1
7	28582	1
12	3128	1
44	17119	1
13	24838	-1
0	26996	-1
2	30469	-1
33	24553	-1
11	22619	-1
8	17377	1
13	25323	1
35	17791	1
47	25615	-1
28	15210	-1
28	11403	-1
16	2519	1
10	432	1
12	27788	-1
49	18013	-1
23	24272	-1
8	16999	1
43	28048	-1
6	29320	1
42	29959	1
38	24533	-1
26	4320	-1
43	16147	1
40	20609	1
12	6305	-1
49	9452	-1
39	6758	1
39	22455	1
19	25689	-1
6	24734	1
13	26439	1
46	17650	1
5	1380	-1
8	3665	1
1	19473	1
33	22767	-1
5	594	-1
42	11807	1
27	11088	-1
49	7531	-1
7	30076	1
27	10618	-1
39	18789	-1
22	17540	-1
24	24600	1
21	22412	1
28	19140	1
1	16623	-1
28	5845	-1
24	24378	1
20	18757	-1
8	24741	1
2	29922	-1
19	2368	-1
46	13166	-1
8	6675	1
38	1096	-1
2	29074	-1
49	23340	-1
47	26773	1
17	5789	1
28	19503	1
43	27283	1
42	11879	1
22	5565	1
46	2653	1
43	27398	-1
16	3743	1
4	19509	1
44	26429	-1
5	20624	-1
46	25001	1
38	29938	-1
34	987	-1
8	28087	-1
5	25210	-1
43	15628	1
3	29309	-1
43	3323	1
19	30019	-1
30	11311	-1
13	4700	-1
1	5311	-1
0	10774	1
5	26699	1
46	26437	1
36	23181	-1
30	8166	1
44	3510	-1
7	5548	1
16	8336	-1
10	28463	1
7	22857	-1
43	28977	1
45	25768	1
4	10841	1
35	8112	-1
9	4237	1
5	4551	-1
35	7045	-1
43	9008	1
8	24617	1
38	13667	1
18	23927	1
8	5380	-1
41	28683	-1
20	17652	1
39	5278	1
5	4794	-1
15	4897	-1
39	4708	-1
44	17590	1
48	20611	1
43	16381	1
48	11017	1
23	25201	1
32	26912	1
18	27517	1
15	475	1
15	5910	-1
43	5585	1
18	7872	1
6	21717	-1
45	3480	1
14	14289	-1
28	7590	1
43	26236	1
24	30759	-1
1	28992	-1
39	30831	-1
46	7122	1
44	761	1
35	39	-1
10	29012	-1
46	21378	1
31	2140	-1
42	201	1
16	2618	1
1	29194	1
5	19906	1
14	515	-1
13	6904	1
10	1997	-1
47	6880	-1
9	19543	1
32	21593	1
2	30480	1
23	7616	-1
30	7765	-1
46	5234	1
7	16005	1
8	14906	1
14	14346	-1
23	2001	1
35	19421	-1
19	7935	-1
8	29602	-1
26	24991	-1
48	18088	1
40	13770	1
40	15226	-1
31	10634	-1
43	2739	-1
46	10318	1
36	14143	-1
41	14144	1
13	25482	1
9	22848	1
40	19138	-1
47	25726	-1
21	25620	1
12	29814	-1
45	9321	-1
4	1534	1
45	2048	-1
6	2770	1
0	5083	-1
42	28315	1
42	7710	1
13	19622	1
45	27888	1
31	14361	1
9	23261	-1
42	10335	1
11	7706	1
32	9940	-1
20	22038	-1
6	12399	-1
46	27766	-1
49	17455	1
37	29008	-1
8	20287	-1
37	19475	1
46	23821	-1
33	1024	-1
3	27883	-1
49	13418	1
17	2896	-1
8	2507	-1
16	24979	1
46	20007	1
4	7143	1
20	19961	1
13	9387	1
28	25171	1
33	6986	-1
36	6425	1
40	30310	1
10	10323	1
0	24033	1
6	24265	1
4	21979	1
26	4797	1
5	7763	-1
29	12853	1
13	19744	-1
9	19971	-1
7	6602	-1
46	22682	-1
14	16939	-1
23	26510	-1
7	23550	1
34	13315	-1
43	22130	1
4	18133	1
4	20784	1
17	24364	-1
4	5238	-1
5	14341	-1
39	20839	1
48	3321	1
42	364	1
44	26091	1
6	3283	-1
4	5479	-1
14	26606	1
14	22374	1
2	13279	-1
8	16606	1
48	11539	1
26	24372	1
45	9927	-1
47	27179	-1
14	4031	-1
14	17004	-1
4	10515	1
22	29471	-1
29	17883	1
16	23774	1
2	9409	-1
35	14685	1
23	14421	1
9	29403	1
10	12934	1
13	26375	1
47	12605	1
40	10654	1
37	5064	-1
16	909	-1
16	9656	1
7	14173	-1
38	1242	-1
24	26336	1
26	25717	-1
45	15160	1
32	24713	1
1	28406	-1
5	13599	1
4	29239	1
1	29577	-1
4	29823	1
38	18391	1
26	11967	1
40	21330	1
10	2888	1
12	15733	-1
13	7682	1
8	14320	1
41	790	1
10	29162	1
6	30026	1
9	23732	1
6	10606	-1
18	5956	-1
16	8091	1
9	14608	-1
13	22434	1
13	3736	1
40	5905	-1
28	17222	-1
6	19547	1
2	17682	-1
46	22760	1
13	25140	1
12	30954	1
9	1361	-1
47	16478	-1
38	4240	1
47	4194	-1
37	9821	-1
4	28009	-1
35	16983	-1
43	5195	1
28	21772	1
36	9963	-1
17	51	1
8	1348	1
0	17905	1
43	20199	1
34	6134	-1
21	12141	1
16	27930	1
43	11067	1
42	8465	1
17	12284	1
40	19620	1
16	22892	1
16	2464	1
13	18632	1
42	12203	1
26	23197	-1
37	3429	1
26	1481	-1
38	1247	-1
30	11594	-1
25	3751	-1
8	30206	1
46	947	-1
5	4565	-1
42	24974	1
13	7577	-1
40	16265	-1
32	16128	-1
12	6174	-1
1	30313	-1
6	7649	-1
3	20344	1
49	26023	-1
39	16171	1
45	2374	-1
28	13293	-1
30	13467	-1
43	1590	1
13	11982	1
37	20800	-1
12	4299	-1
29	4528	1
1	18381	-1
32	20229	1
41	19248	-1
27	7583	1
20	2817	-1
29	6564	-1
28	9193	1
11	14242	-1
39	26495	1
48	15643	1
40	17405	1
9	12214	1
13	3759	-1
10	28943	1
28	15288	-1
43	11124	-1
16	5790	1
14	13634	-1
44	22153	-1
26	26909	-1
21	25668	-1
15	14543	-1
42	11312	-1
48	24581	1
5	26072	1
25	5552	1
0	298	-1
3	28255	-1
42	8224	1
35	27652	-1
45	11386	-1
48	2999	1
25	11418	-1
44	13241	-1
36	3196	-1
46	4572	1
21	5371	-1
43	9282	1
4	13304	1
17	15310	1
43	2257	1
43	8680	-1
9	17538	1
25	3501	-1
49	2936	1
7	3642	1
16	16973	1
39	17967	-1
9	18749	1
10	19223	1
43	15424	1
23	15424	-1
37	17802	-1
16	27097	1
10	30308	1
16	3596	-1
40	17315	1
48	1906	1
21	24334	1
42	19327	1
35	29778	1
13	28748	1
48	19423	1
6	293	-1
48	16611	1
43	107	-1
15	14874	-1
9	23110	1
42	15510	1
4	26016	1
1	8666	1
9	29308	-1
18	3983	1
27	13606	-1
6	1149	1
44	3513	-1
3	368	-1
12	19431	1
42	22880	1
21	12554	1
41	6241	-1
41	28525	-1
18	83	1
15	29928	1
8	6172	-1
36	6342	-1
35	24760	1
48	7089	1
48	9892	1
46	20860	1
44	2237	1
48	26829	1
30	3091	1
46	12662	1
17	23618	1
8	30450	1
43	23017	1
6	30198	-1
10	8407	-1
28	6242	1
18	2355	-1
39	23163	-1
42	17780	1
34	8494	-1
15	7779	1
10	5480	1
48	2933	1
28	14821	-1
33	29748	-1
7	17056	-1
40	9415	-1
29	16898	-1
8	14542	-1
48	30249	1
17	19777	1
7	3332	1
28	26704	-1
18	14200	1
10	25689	-1
15	7556	1
40	5365	1
8	2624	1
43	7019	-1
48	28803	1
29	4925	-1
15	846	1
37	23720	1
26	14048	-1
47	1019	-1
44	19729	-1
8	16427	1
28	22678	-1
22	4041	-1
15	21899	1
13	30171	1
18	19103	-1
30	6399	1
37	10863	1
22	23943	-1
16	28385	1
12	14324	-1
5	22791	-1
18	15625	1
18	16058	-1
20	21626	-1
40	6211	1
27	12832	-1
44	2413	1
17	27596	1
11	8106	-1
15	16280	-1
15	6676	1
10	22938	-1
40	18689	1
19	275	-1
46	28740	1
16	24121	-1
32	7206	-1
14	16187	1
43	7613	1
6	29739	1
34	5665	-1
18	14116	-1
39	5755	1
21	14070	1
40	17412	-1
27	6408	1
32	26918	1
27	6273	1
20	17443	-1
8	9070	1
46	3260	1
21	29598	1
43	12962	1
27	25046	-1
5	11046	1
27	30975	-1
33	13289	-1
8	8653	1
40	24256	1
46	3331	-1
7	16449	1
40	21239	1
40	16185	-1
17	6853	1
28	16661	1
28	2068	-1
48	163	1
2	1585	-1
9	5131	-1
4	10446	-1
28	600	1
43	4563	1
32	23988	1
38	23846	-1
18	23292	-1
30	1237	1
36	29525	1
4	29132	1
39	3013	-1
10	29241	-1
3	14776	-1
35	9944	-1
19	25407	-1
0	7089	-1
21	68	-1
14	20257	-1
40	26745	1
18	16251	1
15	12682	1
29	10865	1
30	15441	-1
35	8500	1
31	15678	1
31	13709	-1
1	8538	1
22	10682	-1
43	25739	1
46	29313	1
42	18414	1
13	26212	1
45	2065	-1
37	17043	-1
5	4103	1
37	23958	-1
8	7969	1
38	27873	-1
46	15661	1
48	11401	1
17	19051	-1
42	27945	1
42	15689	-1
8	28236	1
43	3082	1
48	28912	1
16	25229	-1
37	12738	-1
33	225	-1
22	17761	-1
43	22840	1
46	13662	-1
10	7331	1
42	10831	1
7	4921	-1
10	412	-1
24	24262	-1
0	18318	1
1	23890	-1
42	6470	-1
9	30645	-1
15	22065	-1
22	1524	-1
41	23539	-1
1	23130	-1
11	26799	-1
10	3278	-1
9	23846	-1
12	21223	-1
37	10334	-1
29	20509	-1
46	13279	-1
40	28720	1
44	4568	-1
43	21752	1
28	13220	-1
17	10793	1
43	16330	-1
6	24089	-1
30	1883	-1
1	13979	-1
49	30935	1
16	1417	-1
2	9608	-1
20	18269	-1
48	7551	1
43	23971	1
16	18425	1
12	12641	-1
24	9123	-1
23	23190	-1
9	20382	-1
17	20187	-1
14	5976	1
43	29799	1
46	1346	1
49	941	-1
29	16853	-1
20	24406	1
33	9471	-1
47	27380	1
29	12912	-1
21	25720	-1
43	28164	1
28	11367	1
47	10008	-1
5	24315	-1
15	20823	-1
4	679	-1
13	2788	-1
45	11849	1
46	12815	-1
46	14024	-1
32	9292	-1
42	11764	-1
29	30601	-1
24	15690	-1
15	19894	-1
43	10042	1
40	21227	1
48	11990	1
18	11566	-1
9	10939	-1
5	5384	-1
40	12384	-1
12	3098	-1
48	2985	1
8	5203	-1
18	17194	1
11	11037	-1
12	4584	-1
28	3303	1
32	16581	-1
35	15744	-1
39	7344	-1
41	18866	-1
42	5856	1
6	15548	1
24	17344	-1
33	12641	-1
1	18021	1
28	390	1
25	29356	-1
28	5801	-1
24	8617	-1
8	16519	1
49	22625	-1
8	30125	1
43	28163	1
35	26188	-1
42	7942	-1
21	14992	1
9	15517	-1
34	23123	-1
21	205	1
31	26928	-1
16	11618	-1
7	16135	1
6	28936	1
1	9585	1
46	29762	1
46	19639	1
9	7013	-1
16	26867	-1
2	6030	-1
44	20702	1
36	7286	-1
13	5466	1
12	9488	-1
49	3727	-1
1	3908	1
1	11646	-1
18	2035	1
20	27269	1
42	29804	1
12	23991	-1
29	3509	1
47	10223	-1
25	5465	-1
3	20381	-1
48	5784	1
11	10413	-1
36	18151	1
1	8162	1
44	23492	1
9	2820	1
25	15981	-1
34	18133	-1
1	7951	-1
19	29864	1
33	11628	-1
31	22184	-1
28	27411	1
10	250	-1
10	14756	1
28	8298	-1
8	14606	-1
46	18109	1
19	15477	-1
43	14080	1
13	10188	1
35	7943	-1
21	14089	1
43	11866	1
36	1300	1
6	15806	1
14	27194	1
5	29788	1
44	16488	1
4	30264	1
49	8971	1
16	11552	1
6	20778	1
14	14642	-1
7	26509	1
4	13515	1
4	18694	1
17	23876	-1
48	13289	1
35	8113	1
7	19300	1
17	27948	-1
28	9979	1
29	16932	-1
9	656	-1
48	13200	1
24	2463	-1
27	2701	-1
4	12514	1
40	30519	1
31	17633	-1
16	11818	1
36	23931	-1
46	20343	1
6	26645	-1
1	13225	-1
42	6644	1
46	9063	1
5	25724	1
44	1363	1
16	14955	1
3	6502	-1
48	20380	1
1	7604	-1
47	5486	-1
32	10915	1
17	1516	1
21	17096	-1
43	30467	1
9	8120	1
17	12050	1
26	27435	1
43	28579	1
19	7929	-1
22	25904	-1
31	28890	-1
23	7863	-1
29	5559	1
46	10555	1
39	14144	1
48	15544	1
17	30019	1
10	4996	-1
43	24368	1
8	7127	1
5	9122	1
4	29223	-1
18	3348	1
38	25980	1
6	24850	1
21	13448	1
48	22422	1
10	30272	-1
15	21746	-1
6	20506	1
24	15598	-1
8	20621	1
23	15799	1
16	20171	1
16	7700	-1
42	17795	-1
23	29937	-1
37	15029	-1
19	20238	-1
21	15633	-1
46	16793	1
43	5901	1
1	21249	1
7	7158	-1
41	26562	-1
12	6325	-1
18	7793	-1
39	13839	-1
37	2749	-1
32	12545	-1
46	27969	1
46	17835	1
40	18647	1
42	8828	1
8	27793	1
41	12264	-1
14	24513	1
44	1509	1
44	22636	1
5	28956	1
13	15967	1
23	25617	-1
35	11022	-1
28	2801	1
34	21378	-1
0	28916	-1
24	7685	-1
8	21532	1
13	29146	-1
4	6525	-1
10	30097	1
6	21759	1
1	17182	-1
9	28668	1
42	22916	1
45	25132	1
43	3065	1
45	23501	1
7	10882	1
16	26088	-1
0	17885	-1
43	9686	1
40	11875	1
12	30576	-1
43	29513	1
43	7694	-1
36	13795	1
24	19428	-1
43	20146	1
6	2722	1
22	20122	-1
4	2042	1
48	7721	1
21	6027	1
44	21838	-1
42	7337	1
18	16751	-1
30	19970	-1
1	30897	-1
25	3356	1
10	17535	1
6	2996	1
30	7236	1
17	23557	1
3	7346	-1
4	15552	1
13	22380	1
14	21731	-1
45	13281	-1
18	18712	1
29	6898	-1
38	7008	-1
41	13717	1
6	22021	1
21	16529	-1
13	15754	1
1	16187	1
45	23114	-1
45	12072	-1
17	5218	1
42	2979	-1
10	28823	1
1	1215	-1
33	943	-1
11	8825	-1
6	16576	1
43	21975	1
16	11102	-1
9	10833	-1
39	29332	-1
49	18839	1
28	21488	1
8	3172	1
44	18814	1
9	15603	1
26	15928	-1
17	17812	-1
1	20352	1
48	26987	1
2	21405	-1
48	11208	1
36	9013	-1
22	11116	-1
48	30493	1
46	3321	-1
45	27678	1
4	1322	-1
46	17005	1
30	6513	-1
5	6958	1
21	1985	-1
1	7441	1
18	10686	-1
8	26535	1
41	29758	-1
10	27416	-1
0	14369	1
41	19552	-1
10	1927	-1
46	5394	1
42	14603	1
6	14503	1
21	17539	-1
33	7474	-1
48	26831	1
40	27431	1
27	13931	-1
8	29289	-1
27	15298	-1
24	934	-1
20	18848	1
11	5372	-1
25	17759	-1
14	7865	-1
47	4887	-1
36	10684	1
31	28973	-1
43	20355	1
41	30111	-1
23	23806	1
3	7906	-1
41	17602	-1
27	8095	-1
13	7426	1
29	6965	1
15	22166	-1
18	5372	-1
40	15	1
43	23201	1
34	810	-1
23	20304	1
0	19963	-1
28	5407	1
40	21057	-1
42	7052	-1
21	12062	-1
6	5993	1
15	18439	-1
13	25066	1
36	24127	-1
28	20774	1
41	18460	-1
20	11361	-1
9	1319	1
39	23570	-1
27	21416	-1
13	20840	1
6	9433	1
13	28103	1
28	658	-1
10	3	-1
45	22051	1
43	21692	1
14	18632	-1
10	18316	1
40	20346	1
16	24570	-1
31	16739	-1
4	18469	1
48	12711	1
16	21584	1
18	22391	1
33	26408	-1
13	5948	1
13	25864	1
10	18371	1
16	3985	-1
10	11038	1
39	5617	-1
18	30553	1
13	9301	1
20	8041	-1
39	12122	-1
36	8268	-1
33	20820	-1
43	20020	1
4	6378	-1
42	17108	1
9	22170	1
13	14588	1
36	18137	1
10	12513	-1
48	8064	-1
26	16654	-1
9	5697	-1
12	24248	-1
47	20088	1
49	10459	1
6	30383	-1
40	24625	1
48	11976	1
48	28740	1
9	23644	-1
16	5233	-1
45	25219	-1
4	25874	-1
8	13716	1
46	11989	-1
40	25049	1
43	18505	1
35	17152	-1
46	11865	-1
46	1457	1
6	17072	1
26	26407	-1
38	2763	-1
45	29873	-1
37	20623	1
8	17663	1
5	6724	1
1	13598	-1
24	23021	-1
32	14516	1
40	23342	1
27	6226	1
28	25672	1
46	8022	-1
11	2448	-1
6	21792	1
47	8483	-1
25	1329	1
3	2125	-1
14	10810	-1
13	4085	1
48	20173	-1
4	5932	-1
31	28070	-1
0	20446	1
14	524	-1
13	13853	1
32	2906	-1
1	8526	-1
42	8888	1
6	13747	1
6	29796	1
44	19304	1
4	5329	1
48	16073	1
44	7044	1
28	1375	1
43	11439	1
32	24626	1
14	22993	-1
39	28626	-1
4	9592	1
8	25668	1
42	23278	1
27	21332	-1
20	16065	1
4	8301	-1
0	11251	-1
1	13886	-1
43	18364	1
36	20304	1
29	8489	-1
40	26143	1
23	22872	1
25	28514	1
23	5769	1
6	22365	1
46	3594	1
1	6282	1
13	19676	1
38	25083	-1
48	29253	1
19	12023	1
42	8087	-1
9	11672	-1
46	6707	1
30	20961	1
6	19723	1
43	29919	1
